symbol,date,open,high,low,close,volume,adjclose,splits
CAPS,2000-01-03,2562.5,2750.0,2562.5,2750.0,117,2750.0,0.0
CAPS,2000-01-04,2750.0,2937.5,2750.0,2875.0,209,2875.0,0.0
CAPS,2000-01-05,2750.0,3000.0,2750.0,2937.5,220,2937.5,0.0
CAPS,2000-01-06,3000.0,3000.0,2906.25,2937.5,183,2937.5,0.0
CAPS,2000-01-07,2937.5,3312.5,2937.5,3250.0,1135,3250.0,0.0
CAPS,2000-01-10,3375.0,3531.25,3125.0,3468.75,863,3468.75,0.0
CAPS,2000-01-11,3406.25,3500.0,3031.25,3187.5,245,3187.5,0.0
CAPS,2000-01-12,3375.0,3437.5,3000.0,3125.0,152,3125.0,0.0
CAPS,2000-01-13,3187.5,3312.5,3125.0,3187.5,131,3187.5,0.0
CAPS,2000-01-14,3250.0,3343.75,3125.0,3125.0,106,3125.0,0.0
CAPS,2000-01-18,3125.0,3250.0,3031.25,3031.25,242,3031.25,0.0
CAPS,2000-01-19,3062.5,3187.5,3031.25,3093.75,209,3093.75,0.0
CAPS,2000-01-20,3078.125,3125.0,3062.5,3125.0,105,3125.0,0.0
CAPS,2000-01-21,3140.625,3656.25,3125.0,3531.25,772,3531.25,0.0
CAPS,2000-01-24,3625.0,3750.0,3531.25,3625.0,562,3625.0,0.0
CAPS,2000-01-25,3718.75,3812.5,3531.25,3625.0,885,3625.0,0.0
CAPS,2000-01-26,3609.375,3718.75,3500.0,3656.25,152,3656.25,0.0
CAPS,2000-01-27,3656.25,3875.0,3312.5,3375.0,564,3375.0,0.0
CAPS,2000-01-28,3343.75,4250.0,3312.5,3875.0,1217,3875.0,0.0
CAPS,2000-01-31,4000.0,4062.5,3875.0,3875.0,306,3875.0,0.0
CAPS,2000-02-01,3906.25,3937.5,3625.0,3687.5,223,3687.5,0.0
CAPS,2000-02-02,3687.5,3687.5,3625.0,3656.25,249,3656.25,0.0
CAPS,2000-02-03,3687.5,3875.0,3625.0,3812.5,802,3812.5,0.0
CAPS,2000-02-04,3875.0,4187.5,3812.5,4000.0,538,4000.0,0.0
CAPS,2000-02-07,4000.0,4250.0,3968.75,4187.5,482,4187.5,0.0
CAPS,2000-02-08,4187.5,4937.5,4125.0,4937.5,777,4937.5,0.0
CAPS,2000-02-09,5000.0,5000.0,4625.0,4750.0,283,4750.0,0.0
CAPS,2000-02-10,4750.0,5375.0,4687.5,5000.0,568,5000.0,0.0
CAPS,2000-02-11,5375.0,5375.0,4250.0,4937.5,523,4937.5,0.0
CAPS,2000-02-14,4968.75,5250.0,4875.0,4937.5,308,4937.5,0.0
CAPS,2000-02-15,4953.125,5062.5,4750.0,4875.0,146,4875.0,0.0
CAPS,2000-02-16,4828.125,4875.0,4687.5,4750.0,133,4750.0,0.0
CAPS,2000-02-17,4750.0,5000.0,4750.0,4781.25,353,4781.25,0.0
CAPS,2000-02-18,4843.75,6875.0,4812.5,6343.75,1640,6343.75,0.0
CAPS,2000-02-22,6437.5,6625.0,5687.5,6031.25,819,6031.25,0.0
CAPS,2000-02-23,6015.625,6125.0,5750.0,5812.5,302,5812.5,0.0
CAPS,2000-02-24,5812.5,6031.25,5250.0,5750.0,476,5750.0,0.0
CAPS,2000-02-25,5687.5,6468.75,5625.0,6375.0,794,6375.0,0.0
CAPS,2000-02-28,6375.0,6625.0,6250.0,6500.0,502,6500.0,0.0
CAPS,2000-02-29,6531.25,7750.0,6500.0,7750.0,2623,7750.0,0.0
CAPS,2000-03-01,7812.5,7875.0,7421.875,7562.5,745,7562.5,0.0
CAPS,2000-03-02,7500.0,7687.5,7312.5,7375.0,320,7375.0,0.0
CAPS,2000-03-03,7562.5,8187.5,7500.0,7750.0,1122,7750.0,0.0
CAPS,2000-03-06,8187.5,8312.5,8000.0,8125.0,541,8125.0,0.0
CAPS,2000-03-07,8125.0,8187.5,7125.0,7140.625,338,7140.625,0.0
CAPS,2000-03-08,7125.0,7250.0,6500.0,6937.5,408,6937.5,0.0
CAPS,2000-03-09,6937.5,7000.0,6125.0,6437.5,380,6437.5,0.0
CAPS,2000-03-10,6437.5,7218.75,6375.0,7125.0,663,7125.0,0.0
CAPS,2000-03-13,7000.0,7437.5,6750.0,7375.0,271,7375.0,0.0
CAPS,2000-03-14,7312.5,7437.5,6500.0,6687.5,250,6687.5,0.0
CAPS,2000-03-15,7000.0,7250.0,6562.5,6750.0,221,6750.0,0.0
CAPS,2000-03-16,6625.0,6750.0,6375.0,6500.0,106,6500.0,0.0
CAPS,2000-03-17,6125.0,6500.0,6125.0,6437.5,267,6437.5,0.0
CAPS,2000-03-20,6406.25,6500.0,6312.5,6312.5,147,6312.5,0.0
CAPS,2000-03-21,6750.0,6937.5,6375.0,6625.0,512,6625.0,0.0
CAPS,2000-03-22,6625.0,6875.0,6500.0,6750.0,288,6750.0,0.0
CAPS,2000-03-23,6750.0,7187.5,6750.0,6875.0,284,6875.0,0.0
CAPS,2000-03-24,6875.0,7000.0,6125.0,6156.25,242,6156.25,0.0
CAPS,2000-03-27,6156.25,6500.0,5375.0,5562.5,469,5562.5,0.0
CAPS,2000-03-28,5687.5,6000.0,5687.5,5937.5,137,5937.5,0.0
CAPS,2000-03-29,5875.0,6000.0,5500.0,5562.5,165,5562.5,0.0
CAPS,2000-03-30,5500.0,5843.75,5375.0,5500.0,207,5500.0,0.0
CAPS,2000-03-31,5500.0,6500.0,5437.5,6125.0,171,6125.0,0.0
CAPS,2000-04-03,6062.5,6125.0,5625.0,5812.5,75,5812.5,0.0
CAPS,2000-04-04,5750.0,5812.5,4625.0,5125.0,323,5125.0,0.0
CAPS,2000-04-05,5375.0,5625.0,5000.0,5375.0,149,5375.0,0.0
CAPS,2000-04-06,5250.0,5750.0,5250.0,5625.0,172,5625.0,0.0
CAPS,2000-04-07,5625.0,6062.5,5625.0,6062.5,180,6062.5,0.0
CAPS,2000-04-10,5937.5,6000.0,5750.0,5750.0,120,5750.0,0.0
CAPS,2000-04-11,5750.0,5750.0,5000.0,5125.0,100,5125.0,0.0
CAPS,2000-04-12,5343.75,5437.5,4875.0,4937.5,108,4937.5,0.0
CAPS,2000-04-13,5125.0,5250.0,4875.0,5062.5,67,5062.5,0.0
CAPS,2000-04-14,5125.0,5125.0,4250.0,4437.5,181,4437.5,0.0
CAPS,2000-04-17,4437.5,4437.5,3562.5,3750.0,417,3750.0,0.0
CAPS,2000-04-18,4062.5,4625.0,3937.5,4375.0,235,4375.0,0.0
CAPS,2000-04-19,4437.5,4843.75,4437.5,4812.5,61,4812.5,0.0
CAPS,2000-04-20,4875.0,4968.75,4687.5,4812.5,63,4812.5,0.0
CAPS,2000-04-24,4843.75,4968.75,4687.5,4750.0,129,4750.0,0.0
CAPS,2000-04-25,4937.5,5000.0,4687.5,4750.0,29,4750.0,0.0
CAPS,2000-04-26,4812.5,5000.0,4625.0,5000.0,136,5000.0,0.0
CAPS,2000-04-27,4937.5,5750.0,4750.0,5187.5,495,5187.5,0.0
CAPS,2000-04-28,5218.75,5687.5,5187.5,5562.5,107,5562.5,0.0
CAPS,2000-05-01,5625.0,5625.0,5125.0,5250.0,51,5250.0,0.0
CAPS,2000-05-02,5281.25,5312.5,4750.0,4812.5,44,4812.5,0.0
CAPS,2000-05-03,5000.0,5000.0,4500.0,4562.5,47,4562.5,0.0
CAPS,2000-05-04,4531.25,4625.0,4500.0,4500.0,125,4500.0,0.0
CAPS,2000-05-05,4500.0,4562.5,4250.0,4312.5,266,4312.5,0.0
CAPS,2000-05-08,4437.5,4437.5,3937.5,3937.5,71,3937.5,0.0
CAPS,2000-05-09,4093.75,4500.0,4000.0,4375.0,150,4375.0,0.0
CAPS,2000-05-10,4250.0,4312.5,4000.0,4000.0,178,4000.0,0.0
CAPS,2000-05-11,4062.5,4156.25,4000.0,4000.0,63,4000.0,0.0
CAPS,2000-05-12,4031.25,4250.0,3875.0,3875.0,73,3875.0,0.0
CAPS,2000-05-15,3906.25,4125.0,3875.0,3937.5,173,3937.5,0.0
CAPS,2000-05-16,4031.25,4375.0,3906.25,4250.0,71,4250.0,0.0
CAPS,2000-05-17,4187.5,4500.0,4062.5,4437.5,82,4437.5,0.0
CAPS,2000-05-18,4500.0,4687.5,4437.5,4500.0,376,4500.0,0.0
CAPS,2000-05-19,4453.125,4687.5,4437.5,4562.5,98,4562.5,0.0
CAPS,2000-05-22,4562.5,4562.5,4500.0,4500.0,134,4500.0,0.0
CAPS,2000-05-23,4562.5,4562.5,4375.0,4500.0,76,4500.0,0.0
CAPS,2000-05-24,4468.75,4500.0,4375.0,4375.0,58,4375.0,0.0
CAPS,2000-05-25,4375.0,4562.5,4375.0,4437.5,55,4437.5,0.0
CAPS,2000-05-26,4437.5,4500.0,4437.5,4437.5,58,4437.5,0.0
CAPS,2000-05-30,4437.5,4562.5,4437.5,4437.5,176,4437.5,0.0
CAPS,2000-05-31,4468.75,4656.25,4437.5,4656.25,101,4656.25,0.0
CAPS,2000-06-01,4593.75,4656.25,4593.75,4656.25,48,4656.25,0.0
CAPS,2000-06-02,4687.5,4781.25,4656.25,4687.5,162,4687.5,0.0
CAPS,2000-06-05,4718.75,4937.5,4625.0,4937.5,89,4937.5,0.0
CAPS,2000-06-06,5000.0,5062.5,4937.5,5062.5,125,5062.5,0.0
CAPS,2000-06-07,5000.0,5250.0,4937.5,5046.875,125,5046.875,0.0
CAPS,2000-06-08,5125.0,5437.5,5125.0,5437.5,57,5437.5,0.0
CAPS,2000-06-09,5375.0,5437.5,5312.5,5343.75,77,5343.75,0.0
CAPS,2000-06-12,5343.75,5500.0,5343.75,5500.0,157,5500.0,0.0
