symbol,date,open,high,low,close,volume,adjclose,splits
CTXR,2014-10-02,375.0,375.0,375.0,375.0,40,375.0,0.0
CTXR,2014-10-03,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-06,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-07,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-08,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-09,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-10,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-13,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-14,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-15,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-16,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-17,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-20,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-21,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-22,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-23,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-24,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-27,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-28,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-29,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-30,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-10-31,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-03,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-04,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-05,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-06,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-07,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-10,375.0,375.0,375.0,375.0,0,375.0,0.0
CTXR,2014-11-11,375.0,375.0,375.0,375.0,0,375.0,0.0
